,datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,turbulence
1992,20160725,FPT,41100.0,41100.0,41300.0,41400.0,375880,-247.85242092615226,39.623552776071996,-72.89829512051651,25.634457865383357,0.0
1993,20160725,GAS,62000.0,60500.0,61500.0,63000.0,258480,503.33373106901126,54.41163030884442,-30.575539568345818,7.584889644801956,0.0
1994,20160725,HPG,40900.0,40100.0,40600.0,41300.0,3766690,852.9186255656823,59.39376327441455,36.12596553773018,17.084848324316958,0.0
1995,20160725,KDH,23000.0,22900.0,22900.0,23000.0,60620,-3.3597547056124313,51.60038645561284,18.957345971567367,2.716962359608377,0.0
1996,20160725,MBB,15000.0,15000.0,15100.0,15200.0,291070,5.8562656322483235,47.78272668427454,-42.74004683840084,0.6413715514615075,0.0
1997,20160725,MSN,67000.0,66000.0,66500.0,67500.0,128060,-329.63015593403543,44.74402885363982,-71.9794344473059,36.76098671850759,0.0
1998,20160725,MWG,133000.0,130000.0,135000.0,135000.0,67230,7510.781447236237,67.00465377813289,67.72110370549422,52.4897028292671,0.0
1999,20160725,PDR,12900.0,12800.0,12900.0,13000.0,952070,-404.7510539014729,40.046508834501175,-89.98226950354594,11.98587896854224,0.0
2000,20160725,PNJ,67000.0,66500.0,68500.0,69000.0,115340,-311.2929847320047,49.0358468022828,-87.8048780487805,17.618563835643737,0.0
2001,20160725,SSI,22300.0,22300.0,22800.0,22900.0,1256760,466.6964948418172,52.2411828422549,31.136220966729145,0.9521704239118509,0.0
2002,20160725,STB,11000.0,11000.0,11200.0,11200.0,558160,-35.437775437749224,46.75746510406174,-120.48192771084213,10.868204089963367,0.0
2003,20160725,VCB,53000.0,51500.0,52000.0,53500.0,318900,1703.7756762644567,57.547426137167335,44.807446614346055,21.027105924840363,0.0
2004,20160725,VIC,50500.0,50000.0,50500.0,51000.0,148890,-266.0930549013865,47.90838365929235,-60.937346798706336,5.102144392252296,0.0
2005,20160725,VNM,154000.0,154000.0,157000.0,157000.0,551630,3927.2341266672593,63.32106525396749,139.19563735514726,37.086927555717516,0.0
