Date,Open,High,Low,Close,Adj Close,Volume
2019-12-4,868.79,883.56,865.31,883.56,883.56,74530000
2019-12-5,883.33,886.36,878.39,879.32,879.32,61680000
2019-12-6,878.28,882.59,875.99,880.43,880.43,60750000
2019-12-9,880.39,882.58,876.01,879.94,879.94,64150000
2019-12-10,879.95,880.22,870.25,873.16,873.16,72500000
2019-12-11,873.38,878.27,869.15,878.27,878.27,66720000
2019-12-12,878.27,885.73,878.27,884.8,884.8,57450000
2019-12-13,884.98,888.53,880.55,880.55,880.55,65820000
2019-12-16,880.55,880.55,874.06,876.65,876.65,67010000
2019-12-17,876.5,877.63,867.13,867.44,867.44,72410000
2019-12-18,866.61,867.69,861.05,863.16,863.16,69570000
2019-12-19,863.16,867.25,858.76,862.23,862.23,68010000
2019-12-20,862.23,869.52,862.23,868.37,868.37,69390000
2019-12-23,868.37,872.75,867.92,868.2,868.2,72190000
2019-12-24,868.14,869.9,864.86,869.88,869.88,57930000
2019-12-25,869.93,874.93,869.22,873.18,873.18,53690000
2019-12-26,873.17,874.87,869.57,872.07,872.07,40380000
2019-12-27,872.11,876.38,867.95,876.38,876.38,26810000
2019-12-30,876.61,881.27,876.13,880.29,880.29,33520000
2019-12-31,880.42,881.98,876.66,879.06,879.06,44430000
2020-1-2,879.02,886.88,876.87,886.88,886.88,50390000
2020-1-3,887.11,890.38,883.18,883.28,883.28,43220000
2020-1-6,882.51,882.51,872.34,872.34,872.34,36870000
2020-1-7,872.32,877.34,870.49,876.7,876.7,40280000
2020-1-8,876.64,876.64,861.51,865.18,865.18,53100000
2020-1-9,867.27,878.43,867.27,877.76,877.76,45710000
2020-1-10,877.85,888.09,877.7,885.52,885.52,72860000
2020-01-13,885.52,885.52,881.35,881.79,881.79,32550000
2020-01-14,881.77,886.83,880.58,884.77,884.77,50680000
2020-01-15,884.95,886.33,882.79,885.36,885.36,35670000
2020-01-16,885.36,892.2,883.83,891.96,891.96,63480000
2020-01-17,891.66,897.63,891.36,894.84,894.84,48880000
